name,full_name,base,base_name,second,second_name
GBP/ZMW,GBP/ZMW - British Pound Zambia Kwacha,GBP,British Pound,ZMW,Zambia Kwacha
JPY/GBP,JPY/GBP - Japanese Yen British Pound,JPY,Japanese Yen,GBP,British Pound
KWD/GBP,KWD/GBP - Kuwaiti Dinar British Pound,KWD,Kuwaiti Dinar,GBP,British Pound
NZD/GBP,NZD/GBP - New Zealand Dollar British Pound,NZD,New Zealand Dollar,GBP,British Pound
OMR/GBP,OMR/GBP - Omani Rial British Pound,OMR,Omani Rial,GBP,British Pound
SGD/GBP,SGD/GBP - Singapore Dollar British Pound,SGD,Singapore Dollar,GBP,British Pound
TND/GBP,TND/GBP - Tunisian Dinar British Pound,TND,Tunisian Dinar,GBP,British Pound
USD/GBP,USD/GBP - US Dollar British Pound,USD,US Dollar,GBP,British Pound
GBP/NAD,GBP/NAD - British Pound Namibian Dollar,GBP,British Pound,NAD,Namibian Dollar
GBP/PAB,GBP/PAB - British Pound Panamanian Balboa,GBP,British Pound,PAB,Panamanian Balboa
GBP/XCD,GBP/XCD - British Pound East Caribbean Dollar,GBP,British Pound,XCD,East Caribbean Dollar
GBP/XOF,GBP/XOF - British Pound West African CFA franc,GBP,British Pound,XOF,West African CFA franc
HKD/GBP,HKD/GBP - Hong Kong Dollar British Pound,HKD,Hong Kong Dollar,GBP,British Pound
ILS/GBP,ILS/GBP - Israeli Shekel British Pound,ILS,Israeli Shekel,GBP,British Pound
MXN/GBP,MXN/GBP - Mexican Peso British Pound,MXN,Mexican Peso,GBP,British Pound
NOK/GBP,NOK/GBP - Norwegian Krone British Pound,NOK,Norwegian Krone,GBP,British Pound
PLN/GBP,PLN/GBP - Polish Zloty British Pound,PLN,Polish Zloty,GBP,British Pound
RUB/GBP,RUB/GBP - Russian Ruble British Pound,RUB,Russian Ruble,GBP,British Pound
SAR/GBP,SAR/GBP - Saudi Riyal British Pound,SAR,Saudi Riyal,GBP,British Pound
SEK/GBP,SEK/GBP - Swedish Krona British Pound,SEK,Swedish Krona,GBP,British Pound
TRY/GBP,TRY/GBP - Turkish Lira British Pound,TRY,Turkish Lira,GBP,British Pound
TWD/GBP,TWD/GBP - Taiwan Dollar British Pound,TWD,Taiwan Dollar,GBP,British Pound
VES/GBP,VES/GBP - Venezuelan Bolivar British Pound,VES,Venezuelan Bolivar,GBP,British Pound
ZAR/GBP,ZAR/GBP - South African Rand British Pound,ZAR,South African Rand,GBP,British Pound
KRW/GBP,KRW/GBP - Korean Won British Pound,KRW,Korean Won,GBP,British Pound
INR/GBP,INR/GBP - Indian Rupee British Pound,INR,Indian Rupee,GBP,British Pound
JOD/GBP,JOD/GBP - Jordan Dinar British Pound,JOD,Jordan Dinar,GBP,British Pound
GBP/NPR,GBP/NPR - British Pound Nepalese Rupee,GBP,British Pound,NPR,Nepalese Rupee
IDR/GBP,IDR/GBP - Indonesian Rupiah British Pound,IDR,Indonesian Rupiah,GBP,British Pound
GBP/RUB,GBP/RUB - British Pound Russian Ruble,GBP,British Pound,RUB,Russian Ruble
USD/GEL,USD/GEL - US Dollar Georgian lari,USD,US Dollar,GEL,Georgian lari
GEL/RUB,GEL/RUB - Georgian lari Russian Ruble,GEL,Georgian lari,RUB,Russian Ruble
GHS/USD,GHS/USD - Ghanaian Cedi US Dollar,GHS,Ghanaian Cedi,USD,US Dollar
USD/GHS,USD/GHS - US Dollar Ghanaian Cedi,USD,US Dollar,GHS,Ghanaian Cedi
USD/GMD,USD/GMD - US Dollar Gambian Dalasi,USD,US Dollar,GMD,Gambian Dalasi
USD/GNF,USD/GNF - US Dollar Guinean Franc,USD,US Dollar,GNF,Guinean Franc
USD/GTQ,USD/GTQ - US Dollar Guatemalan Quetzal,USD,US Dollar,GTQ,Guatemalan Quetzal
SGD/HKD,SGD/HKD - Singapore Dollar Hong Kong Dollar,SGD,Singapore Dollar,HKD,Hong Kong Dollar
HKD/JPY,HKD/JPY - Hong Kong Dollar Japanese Yen,HKD,Hong Kong Dollar,JPY,Japanese Yen
NZD/HKD,NZD/HKD - New Zealand Dollar Hong Kong Dollar,NZD,New Zealand Dollar,HKD,Hong Kong Dollar
USD/HKD,USD/HKD - US Dollar Hong Kong Dollar,USD,US Dollar,HKD,Hong Kong Dollar
HKD/IDR,HKD/IDR - Hong Kong Dollar Indonesian Rupiah,HKD,Hong Kong Dollar,IDR,Indonesian Rupiah
HKD/INR,HKD/INR - Hong Kong Dollar Indian Rupee,HKD,Hong Kong Dollar,INR,Indian Rupee
HKD/KRW,HKD/KRW - Hong Kong Dollar Korean Won,HKD,Hong Kong Dollar,KRW,Korean Won
HKD/MXN,HKD/MXN - Hong Kong Dollar Mexican Peso,HKD,Hong Kong Dollar,MXN,Mexican Peso
HKD/MYR,HKD/MYR - Hong Kong Dollar Malaysian Ringgit,HKD,Hong Kong Dollar,MYR,Malaysian Ringgit
HKD/PKR,HKD/PKR - Hong Kong Dollar Pakistani Rupee,HKD,Hong Kong Dollar,PKR,Pakistani Rupee
HKD/PLN,HKD/PLN - Hong Kong Dollar Polish Zloty,HKD,Hong Kong Dollar,PLN,Polish Zloty
HKD/THB,HKD/THB - Hong Kong Dollar Thai Baht,HKD,Hong Kong Dollar,THB,Thai Baht
HKD/TWD,HKD/TWD - Hong Kong Dollar Taiwan Dollar,HKD,Hong Kong Dollar,TWD,Taiwan Dollar
HKD/ZAR,HKD/ZAR - Hong Kong Dollar South African Rand,HKD,Hong Kong Dollar,ZAR,South African Rand
JPY/HKD,JPY/HKD - Japanese Yen Hong Kong Dollar,JPY,Japanese Yen,HKD,Hong Kong Dollar
KRW/HKD,KRW/HKD - Korean Won Hong Kong Dollar,KRW,Korean Won,HKD,Hong Kong Dollar
MXN/HKD,MXN/HKD - Mexican Peso Hong Kong Dollar,MXN,Mexican Peso,HKD,Hong Kong Dollar
MYR/HKD,MYR/HKD - Malaysian Ringgit Hong Kong Dollar,MYR,Malaysian Ringgit,HKD,Hong Kong Dollar
ZAR/HKD,ZAR/HKD - South African Rand Hong Kong Dollar,ZAR,South African Rand,HKD,Hong Kong Dollar
