name,full_name,base,base_name,second,second_name
USD/JPY,USD/JPY - US Dollar Japanese Yen,USD,US Dollar,JPY,Japanese Yen
JPY/RUB,JPY/RUB - Japanese Yen Russian Ruble,JPY,Japanese Yen,RUB,Russian Ruble
USD/KES,USD/KES - US Dollar Kenyan Shilling,USD,US Dollar,KES,Kenyan Shilling
MXN/KES,MXN/KES - Mexican Peso Kenyan Shilling,MXN,Mexican Peso,KES,Kenyan Shilling
NOK/KES,NOK/KES - Norwegian Krone Kenyan Shilling,NOK,Norwegian Krone,KES,Kenyan Shilling
NZD/KES,NZD/KES - New Zealand Dollar Kenyan Shilling,NZD,New Zealand Dollar,KES,Kenyan Shilling
PHP/KES,PHP/KES - Philippine Peso Kenyan Shilling,PHP,Philippine Peso,KES,Kenyan Shilling
PKR/KES,PKR/KES - Pakistani Rupee Kenyan Shilling,PKR,Pakistani Rupee,KES,Kenyan Shilling
PLN/KES,PLN/KES - Polish Zloty Kenyan Shilling,PLN,Polish Zloty,KES,Kenyan Shilling
RUB/KES,RUB/KES - Russian Ruble Kenyan Shilling,RUB,Russian Ruble,KES,Kenyan Shilling
SAR/KES,SAR/KES - Saudi Riyal Kenyan Shilling,SAR,Saudi Riyal,KES,Kenyan Shilling
SEK/KES,SEK/KES - Swedish Krona Kenyan Shilling,SEK,Swedish Krona,KES,Kenyan Shilling
SGD/KES,SGD/KES - Singapore Dollar Kenyan Shilling,SGD,Singapore Dollar,KES,Kenyan Shilling
THB/KES,THB/KES - Thai Baht Kenyan Shilling,THB,Thai Baht,KES,Kenyan Shilling
TRY/KES,TRY/KES - Turkish Lira Kenyan Shilling,TRY,Turkish Lira,KES,Kenyan Shilling
TWD/KES,TWD/KES - Taiwan Dollar Kenyan Shilling,TWD,Taiwan Dollar,KES,Kenyan Shilling
VES/KES,VES/KES - Venezuelan Bolivar Kenyan Shilling,VES,Venezuelan Bolivar,KES,Kenyan Shilling
ZAR/KES,ZAR/KES - South African Rand Kenyan Shilling,ZAR,South African Rand,KES,Kenyan Shilling
USD/KGS,USD/KGS - US Dollar Kyrgyzstan som,USD,US Dollar,KGS,Kyrgyzstan som
KGS/RUB,KGS/RUB - Kyrgyzstan som Russian Ruble,KGS,Kyrgyzstan som,RUB,Russian Ruble
KGS/RUB,KGS/RUB - Kyrgyzstan som Russian Ruble,KGS,Kyrgyzstan som,RUB,Russian Ruble
USD/KHR,USD/KHR - US Dollar Cambodian Riel,USD,US Dollar,KHR,Cambodian Riel
USD/KMF,USD/KMF - US Dollar Comorian Franc,USD,US Dollar,KMF,Comorian Franc
USD/KRW,USD/KRW - US Dollar Korean Won,USD,US Dollar,KRW,Korean Won
KRW/MYR,KRW/MYR - Korean Won Malaysian Ringgit,KRW,Korean Won,MYR,Malaysian Ringgit
KRW/THB,KRW/THB - Korean Won Thai Baht,KRW,Korean Won,THB,Thai Baht
KRW/TWD,KRW/TWD - Korean Won Taiwan Dollar,KRW,Korean Won,TWD,Taiwan Dollar
KRW/ZAR,KRW/ZAR - Korean Won South African Rand,KRW,Korean Won,ZAR,South African Rand
MYR/KRW,MYR/KRW - Malaysian Ringgit Korean Won,MYR,Malaysian Ringgit,KRW,Korean Won
NZD/KRW,NZD/KRW - New Zealand Dollar Korean Won,NZD,New Zealand Dollar,KRW,Korean Won
SGD/KRW,SGD/KRW - Singapore Dollar Korean Won,SGD,Singapore Dollar,KRW,Korean Won
THB/KRW,THB/KRW - Thai Baht Korean Won,THB,Thai Baht,KRW,Korean Won
TWD/KRW,TWD/KRW - Taiwan Dollar Korean Won,TWD,Taiwan Dollar,KRW,Korean Won
ZAR/KRW,ZAR/KRW - South African Rand Korean Won,ZAR,South African Rand,KRW,Korean Won
MXN/KRW,MXN/KRW - Mexican Peso Korean Won,MXN,Mexican Peso,KRW,Korean Won
NOK/KRW,NOK/KRW - Norwegian Krone Korean Won,NOK,Norwegian Krone,KRW,Korean Won
PHP/KRW,PHP/KRW - Philippine Peso Korean Won,PHP,Philippine Peso,KRW,Korean Won
PKR/KRW,PKR/KRW - Pakistani Rupee Korean Won,PKR,Pakistani Rupee,KRW,Korean Won
PLN/KRW,PLN/KRW - Polish Zloty Korean Won,PLN,Polish Zloty,KRW,Korean Won
RUB/KRW,RUB/KRW - Russian Ruble Korean Won,RUB,Russian Ruble,KRW,Korean Won
SAR/KRW,SAR/KRW - Saudi Riyal Korean Won,SAR,Saudi Riyal,KRW,Korean Won
SEK/KRW,SEK/KRW - Swedish Krona Korean Won,SEK,Swedish Krona,KRW,Korean Won
TRY/KRW,TRY/KRW - Turkish Lira Korean Won,TRY,Turkish Lira,KRW,Korean Won
VES/KRW,VES/KRW - Venezuelan Bolivar Korean Won,VES,Venezuelan Bolivar,KRW,Korean Won
KRW/USD,KRW/USD - Korean Won US Dollar,KRW,Korean Won,USD,US Dollar
KRW/SGD,KRW/SGD - Korean Won Singapore Dollar,KRW,Korean Won,SGD,Singapore Dollar
KRW/RUB,KRW/RUB - Korean Won Russian Ruble,KRW,Korean Won,RUB,Russian Ruble
USD/KWD,USD/KWD - US Dollar Kuwaiti Dinar,USD,US Dollar,KWD,Kuwaiti Dinar
KWD/PKR,KWD/PKR - Kuwaiti Dinar Pakistani Rupee,KWD,Kuwaiti Dinar,PKR,Pakistani Rupee
KWD/SAR,KWD/SAR - Kuwaiti Dinar Saudi Riyal,KWD,Kuwaiti Dinar,SAR,Saudi Riyal
SAR/KWD,SAR/KWD - Saudi Riyal Kuwaiti Dinar,SAR,Saudi Riyal,KWD,Kuwaiti Dinar
KWD/USD,KWD/USD - Kuwaiti Dinar US Dollar,KWD,Kuwaiti Dinar,USD,US Dollar
KWD/TRY,KWD/TRY - Kuwaiti Dinar Turkish Lira,KWD,Kuwaiti Dinar,TRY,Turkish Lira
KWD/MYR,KWD/MYR - Kuwaiti Dinar Malaysian Ringgit,KWD,Kuwaiti Dinar,MYR,Malaysian Ringgit
SGD/KWD,SGD/KWD - Singapore Dollar Kuwaiti Dinar,SGD,Singapore Dollar,KWD,Kuwaiti Dinar
KWD/SGD,KWD/SGD - Kuwaiti Dinar Singapore Dollar,KWD,Kuwaiti Dinar,SGD,Singapore Dollar
KYD/USD,KYD/USD - Cayman Islands Dollar US Dollar,KYD,Cayman Islands...,USD,US Dollar
USD/KZT,USD/KZT - US Dollar Kazakh Tenge,USD,US Dollar,KZT,Kazakh Tenge
RUB/KZT,RUB/KZT - Russian Ruble Kazakh Tenge,RUB,Russian Ruble,KZT,Kazakh Tenge
KZT/RUB,KZT/RUB - Kazakh Tenge Russian Ruble,KZT,Kazakh Tenge,RUB,Russian Ruble
UAH/KZT,UAH/KZT - Ukrainian Hryvnia Kazakh Tenge,UAH,Ukrainian Hryvnia,KZT,Kazakh Tenge
KZT/RUB,KZT/RUB - Kazakh Tenge Russian Ruble,KZT,Kazakh Tenge,RUB,Russian Ruble
USD/LAK,USD/LAK - US Dollar Lao Kip,USD,US Dollar,LAK,Lao Kip
USD/LBP,USD/LBP - US Dollar Lebanese Pound,USD,US Dollar,LBP,Lebanese Pound
MXN/LBP,MXN/LBP - Mexican Peso Lebanese Pound,MXN,Mexican Peso,LBP,Lebanese Pound
NOK/LBP,NOK/LBP - Norwegian Krone Lebanese Pound,NOK,Norwegian Krone,LBP,Lebanese Pound
NZD/LBP,NZD/LBP - New Zealand Dollar Lebanese Pound,NZD,New Zealand Dollar,LBP,Lebanese Pound
PHP/LBP,PHP/LBP - Philippine Peso Lebanese Pound,PHP,Philippine Peso,LBP,Lebanese Pound
PKR/LBP,PKR/LBP - Pakistani Rupee Lebanese Pound,PKR,Pakistani Rupee,LBP,Lebanese Pound
PLN/LBP,PLN/LBP - Polish Zloty Lebanese Pound,PLN,Polish Zloty,LBP,Lebanese Pound
RUB/LBP,RUB/LBP - Russian Ruble Lebanese Pound,RUB,Russian Ruble,LBP,Lebanese Pound
SAR/LBP,SAR/LBP - Saudi Riyal Lebanese Pound,SAR,Saudi Riyal,LBP,Lebanese Pound
SEK/LBP,SEK/LBP - Swedish Krona Lebanese Pound,SEK,Swedish Krona,LBP,Lebanese Pound
SGD/LBP,SGD/LBP - Singapore Dollar Lebanese Pound,SGD,Singapore Dollar,LBP,Lebanese Pound
THB/LBP,THB/LBP - Thai Baht Lebanese Pound,THB,Thai Baht,LBP,Lebanese Pound
TRY/LBP,TRY/LBP - Turkish Lira Lebanese Pound,TRY,Turkish Lira,LBP,Lebanese Pound
TWD/LBP,TWD/LBP - Taiwan Dollar Lebanese Pound,TWD,Taiwan Dollar,LBP,Lebanese Pound
VES/LBP,VES/LBP - Venezuelan Bolivar Lebanese Pound,VES,Venezuelan Bolivar,LBP,Lebanese Pound
ZAR/LBP,ZAR/LBP - South African Rand Lebanese Pound,ZAR,South African Rand,LBP,Lebanese Pound
USD/LKR,USD/LKR - US Dollar Sri Lankan Rupee,USD,US Dollar,LKR,Sri Lankan Rupee
MXN/LKR,MXN/LKR - Mexican Peso Sri Lankan Rupee,MXN,Mexican Peso,LKR,Sri Lankan Rupee
NOK/LKR,NOK/LKR - Norwegian Krone Sri Lankan Rupee,NOK,Norwegian Krone,LKR,Sri Lankan Rupee
NZD/LKR,NZD/LKR - New Zealand Dollar Sri Lankan Rupee,NZD,New Zealand Dollar,LKR,Sri Lankan Rupee
PHP/LKR,PHP/LKR - Philippine Peso Sri Lankan Rupee,PHP,Philippine Peso,LKR,Sri Lankan Rupee
PKR/LKR,PKR/LKR - Pakistani Rupee Sri Lankan Rupee,PKR,Pakistani Rupee,LKR,Sri Lankan Rupee
PLN/LKR,PLN/LKR - Polish Zloty Sri Lankan Rupee,PLN,Polish Zloty,LKR,Sri Lankan Rupee
RUB/LKR,RUB/LKR - Russian Ruble Sri Lankan Rupee,RUB,Russian Ruble,LKR,Sri Lankan Rupee
SAR/LKR,SAR/LKR - Saudi Riyal Sri Lankan Rupee,SAR,Saudi Riyal,LKR,Sri Lankan Rupee
SEK/LKR,SEK/LKR - Swedish Krona Sri Lankan Rupee,SEK,Swedish Krona,LKR,Sri Lankan Rupee
SGD/LKR,SGD/LKR - Singapore Dollar Sri Lankan Rupee,SGD,Singapore Dollar,LKR,Sri Lankan Rupee
THB/LKR,THB/LKR - Thai Baht Sri Lankan Rupee,THB,Thai Baht,LKR,Sri Lankan Rupee
TRY/LKR,TRY/LKR - Turkish Lira Sri Lankan Rupee,TRY,Turkish Lira,LKR,Sri Lankan Rupee
TWD/LKR,TWD/LKR - Taiwan Dollar Sri Lankan Rupee,TWD,Taiwan Dollar,LKR,Sri Lankan Rupee
VES/LKR,VES/LKR - Venezuelan Bolivar Sri Lankan Rupee,VES,Venezuelan Bolivar,LKR,Sri Lankan Rupee
ZAR/LKR,ZAR/LKR - South African Rand Sri Lankan Rupee,ZAR,South African Rand,LKR,Sri Lankan Rupee
USD/LSL,USD/LSL - US Dollar Lesotho loti,USD,US Dollar,LSL,Lesotho loti
USD/LYD,USD/LYD - US Dollar Libyan Dinar,USD,US Dollar,LYD,Libyan Dinar
USD/MAD,USD/MAD - US Dollar Moroccan Dirham,USD,US Dollar,MAD,Moroccan Dirham
MXN/MAD,MXN/MAD - Mexican Peso Moroccan Dirham,MXN,Mexican Peso,MAD,Moroccan Dirham
NOK/MAD,NOK/MAD - Norwegian Krone Moroccan Dirham,NOK,Norwegian Krone,MAD,Moroccan Dirham
NZD/MAD,NZD/MAD - New Zealand Dollar Moroccan Dirham,NZD,New Zealand Dollar,MAD,Moroccan Dirham
PHP/MAD,PHP/MAD - Philippine Peso Moroccan Dirham,PHP,Philippine Peso,MAD,Moroccan Dirham
PLN/MAD,PLN/MAD - Polish Zloty Moroccan Dirham,PLN,Polish Zloty,MAD,Moroccan Dirham
RUB/MAD,RUB/MAD - Russian Ruble Moroccan Dirham,RUB,Russian Ruble,MAD,Moroccan Dirham
SAR/MAD,SAR/MAD - Saudi Riyal Moroccan Dirham,SAR,Saudi Riyal,MAD,Moroccan Dirham
SEK/MAD,SEK/MAD - Swedish Krona Moroccan Dirham,SEK,Swedish Krona,MAD,Moroccan Dirham
SGD/MAD,SGD/MAD - Singapore Dollar Moroccan Dirham,SGD,Singapore Dollar,MAD,Moroccan Dirham
THB/MAD,THB/MAD - Thai Baht Moroccan Dirham,THB,Thai Baht,MAD,Moroccan Dirham
TRY/MAD,TRY/MAD - Turkish Lira Moroccan Dirham,TRY,Turkish Lira,MAD,Moroccan Dirham
TWD/MAD,TWD/MAD - Taiwan Dollar Moroccan Dirham,TWD,Taiwan Dollar,MAD,Moroccan Dirham
VES/MAD,VES/MAD - Venezuelan Bolivar Moroccan Dirham,VES,Venezuelan Bolivar,MAD,Moroccan Dirham
ZAR/MAD,ZAR/MAD - South African Rand Moroccan Dirham,ZAR,South African Rand,MAD,Moroccan Dirham
USD/MDL,USD/MDL - US Dollar Moldovan Leu,USD,US Dollar,MDL,Moldovan Leu
MDL/RUB,MDL/RUB - Moldovan Leu Russian Ruble,MDL,Moldovan Leu,RUB,Russian Ruble
MDL/RUB,MDL/RUB - Moldovan Leu Russian Ruble,MDL,Moldovan Leu,RUB,Russian Ruble
USD/MGA,USD/MGA - US Dollar Malagasy Ariary,USD,US Dollar,MGA,Malagasy Ariary
USD/MKD,USD/MKD - US Dollar Macedonian Denar,USD,US Dollar,MKD,Macedonian Denar
USD/MMK,USD/MMK - US Dollar Myanmar kyat,USD,US Dollar,MMK,Myanmar kyat
USD/MNT,USD/MNT - US Dollar Mongolian Tugrik,USD,US Dollar,MNT,Mongolian Tugrik
USD/MOP,USD/MOP - US Dollar Macanese Pataca,USD,US Dollar,MOP,Macanese Pataca
USD/MRU,USD/MRU - US Dollar Mauritanian ouguiya,USD,US Dollar,MRU,Mauritanian ouguiya
USD/MUR,USD/MUR - US Dollar Mauritian Rupee,USD,US Dollar,MUR,Mauritian Rupee
USD/MVR,USD/MVR - US Dollar Maldivian Rufiyaa,USD,US Dollar,MVR,Maldivian Rufiyaa
USD/MWK,USD/MWK - US Dollar Malawian Kwacha,USD,US Dollar,MWK,Malawian Kwacha
USD/MXN,USD/MXN - US Dollar Mexican Peso,USD,US Dollar,MXN,Mexican Peso
MXN/ZAR,MXN/ZAR - Mexican Peso South African Rand,MXN,Mexican Peso,ZAR,South African Rand
SGD/MXN,SGD/MXN - Singapore Dollar Mexican Peso,SGD,Singapore Dollar,MXN,Mexican Peso
MXN/MYR,MXN/MYR - Mexican Peso Malaysian Ringgit,MXN,Mexican Peso,MYR,Malaysian Ringgit
MXN/NAD,MXN/NAD - Mexican Peso Namibian Dollar,MXN,Mexican Peso,NAD,Namibian Dollar
MXN/NOK,MXN/NOK - Mexican Peso Norwegian Krone,MXN,Mexican Peso,NOK,Norwegian Krone
MXN/NPR,MXN/NPR - Mexican Peso Nepalese Rupee,MXN,Mexican Peso,NPR,Nepalese Rupee
MXN/NZD,MXN/NZD - Mexican Peso New Zealand Dollar,MXN,Mexican Peso,NZD,New Zealand Dollar
MXN/PAB,MXN/PAB - Mexican Peso Panamanian Balboa,MXN,Mexican Peso,PAB,Panamanian Balboa
MXN/PHP,MXN/PHP - Mexican Peso Philippine Peso,MXN,Mexican Peso,PHP,Philippine Peso
MXN/PKR,MXN/PKR - Mexican Peso Pakistani Rupee,MXN,Mexican Peso,PKR,Pakistani Rupee
MXN/PLN,MXN/PLN - Mexican Peso Polish Zloty,MXN,Mexican Peso,PLN,Polish Zloty
MXN/QAR,MXN/QAR - Mexican Peso Qatari Riyal,MXN,Mexican Peso,QAR,Qatari Riyal
MXN/RON,MXN/RON - Mexican Peso Romanian Leu,MXN,Mexican Peso,RON,Romanian Leu
MXN/RUB,MXN/RUB - Mexican Peso Russian Ruble,MXN,Mexican Peso,RUB,Russian Ruble
MXN/SAR,MXN/SAR - Mexican Peso Saudi Riyal,MXN,Mexican Peso,SAR,Saudi Riyal
MXN/SEK,MXN/SEK - Mexican Peso Swedish Krona,MXN,Mexican Peso,SEK,Swedish Krona
MXN/SGD,MXN/SGD - Mexican Peso Singapore Dollar,MXN,Mexican Peso,SGD,Singapore Dollar
MXN/THB,MXN/THB - Mexican Peso Thai Baht,MXN,Mexican Peso,THB,Thai Baht
MXN/TRY,MXN/TRY - Mexican Peso Turkish Lira,MXN,Mexican Peso,TRY,Turkish Lira
MXN/TWD,MXN/TWD - Mexican Peso Taiwan Dollar,MXN,Mexican Peso,TWD,Taiwan Dollar
MXN/USD,MXN/USD - Mexican Peso US Dollar,MXN,Mexican Peso,USD,US Dollar
MXN/VES,MXN/VES - Mexican Peso Venezuelan Bolivar,MXN,Mexican Peso,VES,Venezuelan Bolivar
MXN/XAF,MXN/XAF - Mexican Peso Central African Franc,MXN,Mexican Peso,XAF,Central African Franc
MXN/XCD,MXN/XCD - Mexican Peso East Caribbean Dollar,MXN,Mexican Peso,XCD,East Caribbean Dollar
MXN/XOF,MXN/XOF - Mexican Peso West African CFA franc,MXN,Mexican Peso,XOF,West African CFA franc
NOK/MXN,NOK/MXN - Norwegian Krone Mexican Peso,NOK,Norwegian Krone,MXN,Mexican Peso
NZD/MXN,NZD/MXN - New Zealand Dollar Mexican Peso,NZD,New Zealand Dollar,MXN,Mexican Peso
PHP/MXN,PHP/MXN - Philippine Peso Mexican Peso,PHP,Philippine Peso,MXN,Mexican Peso
PLN/MXN,PLN/MXN - Polish Zloty Mexican Peso,PLN,Polish Zloty,MXN,Mexican Peso
RUB/MXN,RUB/MXN - Russian Ruble Mexican Peso,RUB,Russian Ruble,MXN,Mexican Peso
SAR/MXN,SAR/MXN - Saudi Riyal Mexican Peso,SAR,Saudi Riyal,MXN,Mexican Peso
SEK/MXN,SEK/MXN - Swedish Krona Mexican Peso,SEK,Swedish Krona,MXN,Mexican Peso
THB/MXN,THB/MXN - Thai Baht Mexican Peso,THB,Thai Baht,MXN,Mexican Peso
TRY/MXN,TRY/MXN - Turkish Lira Mexican Peso,TRY,Turkish Lira,MXN,Mexican Peso
TWD/MXN,TWD/MXN - Taiwan Dollar Mexican Peso,TWD,Taiwan Dollar,MXN,Mexican Peso
VES/MXN,VES/MXN - Venezuelan Bolivar Mexican Peso,VES,Venezuelan Bolivar,MXN,Mexican Peso
ZAR/MXN,ZAR/MXN - South African Rand Mexican Peso,ZAR,South African Rand,MXN,Mexican Peso
PYG/MXN,PYG/MXN - Paraguayan Guarani Mexican Peso,PYG,Paraguayan Guarani,MXN,Mexican Peso
UYU/MXN,UYU/MXN - Uruguayan Peso Mexican Peso,UYU,Uruguayan Peso,MXN,Mexican Peso
PEN/MXN,PEN/MXN - Peru Sol Mexican Peso,PEN,Peru Sol,MXN,Mexican Peso
MXN/PYG,MXN/PYG - Mexican Peso Paraguayan Guarani,MXN,Mexican Peso,PYG,Paraguayan Guarani
MXN/UYU,MXN/UYU - Mexican Peso Uruguayan Peso,MXN,Mexican Peso,UYU,Uruguayan Peso
MXN/PEN,MXN/PEN - Mexican Peso Peru Sol,MXN,Mexican Peso,PEN,Peru Sol
MYR/NZD,MYR/NZD - Malaysian Ringgit New Zealand Dollar,MYR,Malaysian Ringgit,NZD,New Zealand Dollar
MYR/PKR,MYR/PKR - Malaysian Ringgit Pakistani Rupee,MYR,Malaysian Ringgit,PKR,Pakistani Rupee
MYR/SGD,MYR/SGD - Malaysian Ringgit Singapore Dollar,MYR,Malaysian Ringgit,SGD,Singapore Dollar
MYR/THB,MYR/THB - Malaysian Ringgit Thai Baht,MYR,Malaysian Ringgit,THB,Thai Baht
MYR/TWD,MYR/TWD - Malaysian Ringgit Taiwan Dollar,MYR,Malaysian Ringgit,TWD,Taiwan Dollar
MYR/ZAR,MYR/ZAR - Malaysian Ringgit South African Rand,MYR,Malaysian Ringgit,ZAR,South African Rand
NZD/MYR,NZD/MYR - New Zealand Dollar Malaysian Ringgit,NZD,New Zealand Dollar,MYR,Malaysian Ringgit
SGD/MYR,SGD/MYR - Singapore Dollar Malaysian Ringgit,SGD,Singapore Dollar,MYR,Malaysian Ringgit
USD/MYR,USD/MYR - US Dollar Malaysian Ringgit,USD,US Dollar,MYR,Malaysian Ringgit
ZAR/MYR,ZAR/MYR - South African Rand Malaysian Ringgit,ZAR,South African Rand,MYR,Malaysian Ringgit
NOK/MYR,NOK/MYR - Norwegian Krone Malaysian Ringgit,NOK,Norwegian Krone,MYR,Malaysian Ringgit
PHP/MYR,PHP/MYR - Philippine Peso Malaysian Ringgit,PHP,Philippine Peso,MYR,Malaysian Ringgit
PLN/MYR,PLN/MYR - Polish Zloty Malaysian Ringgit,PLN,Polish Zloty,MYR,Malaysian Ringgit
RUB/MYR,RUB/MYR - Russian Ruble Malaysian Ringgit,RUB,Russian Ruble,MYR,Malaysian Ringgit
SAR/MYR,SAR/MYR - Saudi Riyal Malaysian Ringgit,SAR,Saudi Riyal,MYR,Malaysian Ringgit
SEK/MYR,SEK/MYR - Swedish Krona Malaysian Ringgit,SEK,Swedish Krona,MYR,Malaysian Ringgit
THB/MYR,THB/MYR - Thai Baht Malaysian Ringgit,THB,Thai Baht,MYR,Malaysian Ringgit
TRY/MYR,TRY/MYR - Turkish Lira Malaysian Ringgit,TRY,Turkish Lira,MYR,Malaysian Ringgit
TWD/MYR,TWD/MYR - Taiwan Dollar Malaysian Ringgit,TWD,Taiwan Dollar,MYR,Malaysian Ringgit
VES/MYR,VES/MYR - Venezuelan Bolivar Malaysian Ringgit,VES,Venezuelan Bolivar,MYR,Malaysian Ringgit
MYR/USD,MYR/USD - Malaysian Ringgit US Dollar,MYR,Malaysian Ringgit,USD,US Dollar
USD/MZN,USD/MZN - US Dollar Mozambican Metical,USD,US Dollar,MZN,Mozambican Metical
USD/NAD,USD/NAD - US Dollar Namibian Dollar,USD,US Dollar,NAD,Namibian Dollar
NOK/NAD,NOK/NAD - Norwegian Krone Namibian Dollar,NOK,Norwegian Krone,NAD,Namibian Dollar
NZD/NAD,NZD/NAD - New Zealand Dollar Namibian Dollar,NZD,New Zealand Dollar,NAD,Namibian Dollar
PHP/NAD,PHP/NAD - Philippine Peso Namibian Dollar,PHP,Philippine Peso,NAD,Namibian Dollar
PLN/NAD,PLN/NAD - Polish Zloty Namibian Dollar,PLN,Polish Zloty,NAD,Namibian Dollar
RUB/NAD,RUB/NAD - Russian Ruble Namibian Dollar,RUB,Russian Ruble,NAD,Namibian Dollar
SAR/NAD,SAR/NAD - Saudi Riyal Namibian Dollar,SAR,Saudi Riyal,NAD,Namibian Dollar
SEK/NAD,SEK/NAD - Swedish Krona Namibian Dollar,SEK,Swedish Krona,NAD,Namibian Dollar
SGD/NAD,SGD/NAD - Singapore Dollar Namibian Dollar,SGD,Singapore Dollar,NAD,Namibian Dollar
THB/NAD,THB/NAD - Thai Baht Namibian Dollar,THB,Thai Baht,NAD,Namibian Dollar
TRY/NAD,TRY/NAD - Turkish Lira Namibian Dollar,TRY,Turkish Lira,NAD,Namibian Dollar
TWD/NAD,TWD/NAD - Taiwan Dollar Namibian Dollar,TWD,Taiwan Dollar,NAD,Namibian Dollar
VES/NAD,VES/NAD - Venezuelan Bolivar Namibian Dollar,VES,Venezuelan Bolivar,NAD,Namibian Dollar
ZAR/NAD,ZAR/NAD - South African Rand Namibian Dollar,ZAR,South African Rand,NAD,Namibian Dollar
USD/NGN,USD/NGN - US Dollar Nigerian Naira,USD,US Dollar,NGN,Nigerian Naira
USD/NIO,USD/NIO - US Dollar Nicaraguan Córdoba,USD,US Dollar,NIO,Nicaraguan Córdoba
NIO/USD,NIO/USD - Nicaraguan Córdoba US Dollar,NIO,Nicaraguan Córdoba,USD,US Dollar
USD/NOK,USD/NOK - US Dollar Norwegian Krone,USD,US Dollar,NOK,Norwegian Krone
NOK/SEK,NOK/SEK - Norwegian Krone Swedish Krona,NOK,Norwegian Krone,SEK,Swedish Krona
SEK/NOK,SEK/NOK - Swedish Krona Norwegian Krone,SEK,Swedish Krona,NOK,Norwegian Krone
ZAR/NOK,ZAR/NOK - South African Rand Norwegian Krone,ZAR,South African Rand,NOK,Norwegian Krone
NOK/NPR,NOK/NPR - Norwegian Krone Nepalese Rupee,NOK,Norwegian Krone,NPR,Nepalese Rupee
NOK/NZD,NOK/NZD - Norwegian Krone New Zealand Dollar,NOK,Norwegian Krone,NZD,New Zealand Dollar
NOK/OMR,NOK/OMR - Norwegian Krone Omani Rial,NOK,Norwegian Krone,OMR,Omani Rial
NOK/PAB,NOK/PAB - Norwegian Krone Panamanian Balboa,NOK,Norwegian Krone,PAB,Panamanian Balboa
NOK/PHP,NOK/PHP - Norwegian Krone Philippine Peso,NOK,Norwegian Krone,PHP,Philippine Peso
NOK/PKR,NOK/PKR - Norwegian Krone Pakistani Rupee,NOK,Norwegian Krone,PKR,Pakistani Rupee
NOK/PLN,NOK/PLN - Norwegian Krone Polish Zloty,NOK,Norwegian Krone,PLN,Polish Zloty
NOK/QAR,NOK/QAR - Norwegian Krone Qatari Riyal,NOK,Norwegian Krone,QAR,Qatari Riyal
NOK/RON,NOK/RON - Norwegian Krone Romanian Leu,NOK,Norwegian Krone,RON,Romanian Leu
NOK/RUB,NOK/RUB - Norwegian Krone Russian Ruble,NOK,Norwegian Krone,RUB,Russian Ruble
NOK/SAR,NOK/SAR - Norwegian Krone Saudi Riyal,NOK,Norwegian Krone,SAR,Saudi Riyal
NOK/SGD,NOK/SGD - Norwegian Krone Singapore Dollar,NOK,Norwegian Krone,SGD,Singapore Dollar
NOK/THB,NOK/THB - Norwegian Krone Thai Baht,NOK,Norwegian Krone,THB,Thai Baht
NOK/TRY,NOK/TRY - Norwegian Krone Turkish Lira,NOK,Norwegian Krone,TRY,Turkish Lira
NOK/TWD,NOK/TWD - Norwegian Krone Taiwan Dollar,NOK,Norwegian Krone,TWD,Taiwan Dollar
NOK/USD,NOK/USD - Norwegian Krone US Dollar,NOK,Norwegian Krone,USD,US Dollar
NOK/VES,NOK/VES - Norwegian Krone Venezuelan Bolivar,NOK,Norwegian Krone,VES,Venezuelan Bolivar
NOK/XAF,NOK/XAF - Norwegian Krone Central African Franc,NOK,Norwegian Krone,XAF,Central African Franc
NOK/XCD,NOK/XCD - Norwegian Krone East Caribbean Dollar,NOK,Norwegian Krone,XCD,East Caribbean Dollar
NOK/XOF,NOK/XOF - Norwegian Krone West African CFA franc,NOK,Norwegian Krone,XOF,West African CFA franc
NOK/ZAR,NOK/ZAR - Norwegian Krone South African Rand,NOK,Norwegian Krone,ZAR,South African Rand
NZD/NOK,NZD/NOK - New Zealand Dollar Norwegian Krone,NZD,New Zealand Dollar,NOK,Norwegian Krone
PHP/NOK,PHP/NOK - Philippine Peso Norwegian Krone,PHP,Philippine Peso,NOK,Norwegian Krone
PLN/NOK,PLN/NOK - Polish Zloty Norwegian Krone,PLN,Polish Zloty,NOK,Norwegian Krone
RUB/NOK,RUB/NOK - Russian Ruble Norwegian Krone,RUB,Russian Ruble,NOK,Norwegian Krone
SAR/NOK,SAR/NOK - Saudi Riyal Norwegian Krone,SAR,Saudi Riyal,NOK,Norwegian Krone
SGD/NOK,SGD/NOK - Singapore Dollar Norwegian Krone,SGD,Singapore Dollar,NOK,Norwegian Krone
THB/NOK,THB/NOK - Thai Baht Norwegian Krone,THB,Thai Baht,NOK,Norwegian Krone
TRY/NOK,TRY/NOK - Turkish Lira Norwegian Krone,TRY,Turkish Lira,NOK,Norwegian Krone
TWD/NOK,TWD/NOK - Taiwan Dollar Norwegian Krone,TWD,Taiwan Dollar,NOK,Norwegian Krone
VES/NOK,VES/NOK - Venezuelan Bolivar Norwegian Krone,VES,Venezuelan Bolivar,NOK,Norwegian Krone
NOK/RUB,NOK/RUB - Norwegian Krone Russian Ruble,NOK,Norwegian Krone,RUB,Russian Ruble
USD/NPR,USD/NPR - US Dollar Nepalese Rupee,USD,US Dollar,NPR,Nepalese Rupee
