country,name,full_name,symbol,issuer,isin,asset_class,underlying
france,SG ZT WTI Fut 5X Lev Ind 31Dec99,SG ISSUER ZT  WTI Fut 5X Lev Ind 31Dec99,FR0013112786,,,,
france,SG ZT GOLD X10 LEV 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  GOLD X10 LEV 31Dec99,FR0011815034,,,,
germany,BNP KOSPI 200 Index 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV ZT KOSPI 200 Index 31Dec99,DE571515,,,,
germany,BNP ZT MSCI Daily TR Net EM Indones,BNP Paribas Arbitrage Issuance B.V. ZT MSCI Daily TR Net EM Indonesia Local 31Dec99,DEAA12MX,,,,
germany,BNP ZT RBS AUD TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS AUD Total Return Index 31Dec99,DE918740,,,,
germany,BNP DAXplus Maximum Sharpe Ger TR,BNP Paribas Arbitrage Issuance B.V. ZT DAXplus Maximum Sharpe Ratio Germany EUR Total Return Index 3,DEAA0KF0,,,,
germany,BNP Call MSCI Colombia 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call MSCI Colombia 31Dec99,DEAA2RDF,,,,
germany,BNP ZT RBS CHF TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS CHF Total Return Index 31Dec99,DE918741,,,,
germany,BNP Call MSCI New Zealand 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call MSCI New Zealand 31Dec99,DEAA209B,,,,
germany,BNP ZT DAXplus Minimum Variance PR,BNP Paribas Arbitrage Issuance B.V. ZT DAXplus Minimum Variance US USD Price Return Index 31Dec99,DEAA0KF1,,,,
germany,BNP Paribas ZT MSCI Russia 31Dec99,BNP Paribas ZT MSCI Russia 31Dec99,DEBN2RUS,,,,
germany,BNP Call RBS Generic Drugs TR Index,BNP Paribas Arbitrage Issuance B.V. Call RBS Generic Drugs Total Return Index 31Dec99,DEABN9PP,,,,
germany,BNP ZT BNP Vietnam Price Return,BNP Paribas Arbitrage Issuance B.V. ZT BNP Paribas Arbitrage Issuance B.V. Vietnam Price Return Inde,DEAA0KE8,,,,
germany,BNP Call ZAR USD/ZAR,BNP Paribas Arbitrage Issuance B.V. Call USD ZAR US-Dollar S dafrikanischer Rand 31Dec99,DEAA0KSF,,,,
germany,BNP ZT DAXGlobal Agribusiness Price,BNP Paribas Arbitrage Issuance B.V. ZT DAXGlobal Agribusiness EUR Price Index 31Dec99,DEAA0KGG,,,,
germany,BNP ZT DAXGlobal Russia RUB PR,BNP Paribas Arbitrage Issuance B.V. ZT DAXGlobal Russia RUB Price Return Index 31Dec99,DEABN98G,,,,
germany,BNP ZT HANG SENG 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT HANG SENG 31Dec99,DE685964,,,,
germany,BNP DJ Stoxx 600 Cyclical Goods Ser,BNP Paribas Arbitrage Issuance B.V. ZT Dow Jones Stoxx 600 Cyclical Goods Services Price EUR 31Dec99,DE827430,,,,
germany,Bayerische Gold 31Dec99,Bayerische Hypo-und Vereinsbank AG ZT Gold 31Dec99,DEHV2XAU,,,,
germany,Bayerische DAX Index 31Dec99,Bayerische Hypo-und Vereinsbank AG ZT DAX Index 31Dec99,DEHY1Y7L,,,,
germany,Vontobel Call 30.7 EUR Unilever,Vontobel Call 30.7 EUR Unilever N.V. 31Dec99,DEVZ716B,,,,
germany,CB Call 10.2429 ZAR USD/ZAR,COMMERZBANK AG Call 10.2429 ZAR USD/ZAR Spot Rate 31Dec99,DECE8NK7,,,,
germany,CB Call 0.5758 AUD/USD 31Dec99,COMMERZBANK AG Call 0.5758 AUD/USD 31Dec99,DECE6M8S,,,,
germany,BNP Put EUR/USD 31Dec99,BNP Put EUR/USD 31Dec99,DEAA0XYR,,,,
germany,BNP Call Chile Inter 10 Index,BNP Paribas Arbitrage Issuance B.V. Call Chile Inter 10 Index 31Dec99,DEAA0C4K,,,,
germany,BNP ZT DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT DAX Idx 31Dec99,DE768918,,,,
germany,BNP Call CECE Composite Euro,BNP Paribas Arbitrage Issuance B.V. Call CECE Composite Euro 31Dec99,DEABN0EW,,,,
germany,BNP ZT DAXplus MV Germany TR,BNP Paribas Arbitrage Issuance B.V. ZT DAXplus Minimum Variance Germany EUR Total Return Index 31Dec,DEAA0KFZ,,,,
germany,BNP ZT RBS HUF TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS HUF Total Return Index 31Dec99,DE918607,,,,
germany,BNP Call CASE 30 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call CASE 30 31Dec99,DEABN1EJ,,,,
germany,DE000DB3WT13,Deutsche Bank AG ZT WTI Light Sweet Crude Oil Future 30Dec99,DEDB3WT1,,,,
germany,DZ ZT Silber Endlos 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Silber 31Dec99,DEDZ0B77,,,,
germany,DB Brent Crude Oil 31Dec99,Deutsche Bank AG ZT Brent Crude Oil 31Dec99,DEDB3CTQ,,,,
germany,DZ ZT Gold Endlos 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Gold 31Dec99,DEDZ0B66,,,,
germany,DZ Call BrentOel Quanto Endlos,DZ BANK AG Call DZ BANK BestCommodity BrentOel Index 31Dec99,DEDZ2X4Q,,,,
germany,Dresdner Bank Composite Easter,Dresdner Bank ZT CECE USD - Composite Eastern European Price Index 31Dec99,DE635186,,,,
germany,Bayerische Silber 31Dec99,Bayerische Hypo-und Vereinsbank AG ZT Silber 31Dec99,DEHV2XAG,,,,
germany,UBS Call DAX 31Dec99,UBS Deutschland AG Call DAX 31Dec99,DE550479,,,,
germany,CB ZT E.ON Long x3 31Dec99,Commerzbank AG ZT E.ON 31Dec99,DECZ24PM,,,,
germany,DZ ZT Kupfer LME Endlos 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Kupfer LME 31Dec99,DEDZ0CDD,,,,
germany,CB ZT Nokia Long x3 31Dec99,Commerzbank AG ZT Nokia 31Dec99,DECZ327H,,,,
